Arabic,English
اسف,Sorry
الجديدة,New
لكل,for every
أصدقاء,friends
النوع,Type
الجيد,Good
اى,any
إليها,to her
بأني,By me
ميت,dead
بيننا,Between us
الرب,God
عملية,practical
ذو,Bicker
بيتر,Peter
بعضنا,Some of us
القضية,the case
وكل,And all
أحضر,Bring
قيد,Restriction
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Leave me
تفضل,Help yourself
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,Take
قول,say
العائلة,the family
بنفسك,by yourself
موعد,an appointment
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,You tell me
إذًا,if
الكبير,Great
صاح,Hoot
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,You
ولكنه,But
حبيبتي,My dear
تذكر,to remember
أمك,Your mother
مستحيل,impossible
اعتقدت,I believed
مليون,million
إليّ,to
علم,science
قل,Say
طلبت,Requested
ربّما,maybe
ذاك,that
حسن,Hassan
الأخرى,The other
يحتاج,Need
تعود,Return
الهي,divine
زلت,Remove
نسيت,I forgot
وصلت,It arrived
انتظري,Wait
نعلم,Teach
أنّي,that I
النظر,look
إذهب,Go
أتريد,you want to
عدة,several
سيحدث,It will happen
ابن,son
لديكِ,You have
الصعب,Difficult
تقريباً,almost
الحظ,Luck
ألف,one thousand
مساعدة,help
تصبح,Become
سأقوم,I will do
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,Dr
الحقيقي,Real
منكم,You are from you
دي,De
يمكنكِ,You could
أربعة,four
القليل,Little
يزال,Remove
الدم,the blood
إننا,We are
أسرع,faster
البداية,the beginning
سأعود,I'll come back
صعب,difficult
بعيدا,Away
كن,Be
عرض,an offer
بكثير,Much
وعندما,And when
اسمه,its name
تفكر,Contemplate
آنسة,Ms
تعتقدين,You think
فقدت,Lost
مهم,Important
يتحدث,He speaks
بتلك,That
لأي,for any
بعدها,Then
يريدون,They want
يوماً,One day
يعود,Back
جاء,came
هُناك,there
أتعلمين,You know
ترك,to leave
المناسب,the appropriate
السؤال,the question
اكون,I be
الآخرين,Others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,for work
معهم,With them
التالي,the next
شرطة,police
قط,cat
جريمة,a crime
أبحث,Search
توقفي,Stop
بنفسي,by myself
الشمس,the sun
فكرت,I think
يفترض,Supposedly
السماء,the sky
الوصول,Access
الجانب,the side
أحصل,Get
عشرة,ten
معا,together
الداخل,Inside
أعود,I come back
المعلومات,the information
تحمل,to bear
حَسناً,Good
أطفال,children
الثاني,the second
جيّد,good
هذة,This is amazing
ببعض,Some
يارجل,Hey man
ماري,Marie
بكم,with you
وداعاً,Farewell
يعد,Prepare
الأيام,the days
أسوأ,worst
مشاكل,problems
